"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"5c71abd140cf62c27dd97fb112e96f96"	0	0	0	0	52	157	22	0	35	44	44	0	27	85	73	304	62	45	0	0	99	64	0	0	0	0	0	0	0	107	0	0	99	104
"28636ebe1e16ad47240eaa81244bd0b1"	33	0	0	0	0	11	0	23	11	0	0	0	16	30	46	1056	0	0	20	46	6	36	10	0	0	0	0	0	0	31	6	0	17	0
"44480529c018c2d9b2795dcbcbaa1000"	69	27	31	30	66	74	0	109	3	0	52	34	22	0	0	0	0	10	0	4	40	24	93	27	46	26	83	41	63	119	38	55	90	111
"b15e35a767f8c9d193abc4f13b866315"	26	0	0	26	26	31	29	60	45	47	29	7	61	150	48	210	51	0	224	102	34	60	25	0	0	0	0	0	0	48	27	20	0	0
"aa65593d5b6bb0554ae1cd1e3df3da45"	41	22	39	26	15	20	95	49	93	194	0	39	68	2	0	0	175	41	0	0	0	21	96	29	21	40	27	35	32	0	29	36	25	32
"93e24884925cae6a2e3134217b58c675"	31	17	22	0	0	35	102	107	136	79	23	106	85	35	86	33	98	92	0	0	31	30	0	23	0	0	12	6	0	39	0	28	32	29
"7c9f454292d4c13da1c45f58c47098d0"	60	71	104	144	45	0	0	16	0	0	0	57	0	0	0	0	0	0	0	0	0	27	137	93	33	123	0	0	64	0	85	179	64	0
"522bc852651c57201b2461aff25c1997"	14	28	6	0	26	43	5	105	0	16	71	0	11	85	42	230	118	6	39	51	54	46	34	8	0	10	74	39	23	81	0	11	23	19
"826995c850aaa44b2ec407595c7627b4"	61	22	54	100	45	0	50	71	25	0	0	135	34	0	0	0	0	54	0	0	0	58	81	75	44	60	68	0	32	10	99	79	54	0
"af0f71644cecdfc76a415d319dc1b950"	51	41	88	134	104	0	0	113	0	0	0	66	4	0	0	0	0	0	0	0	0	9	94	126	51	108	0	0	69	0	69	107	56	0
"76363618e6a55a0556fa9cdda32b9519"	73	62	74	57	34	35	46	78	0	0	0	27	46	0	0	0	16	78	0	8	0	0	82	67	0	81	79	93	52	20	65	64	30	0
"608e92bae485d3cd93d70977cd760bf3"	46	0	0	102	100	60	0	0	0	0	0	0	0	0	0	0	0	0	0	57	15	62	35	32	38	0	33	195	23	26	36	0	246	146
"d913d23408b12ca79cc2924431677f76"	92	0	34	22	34	25	0	0	0	0	25	0	0	0	0	0	0	0	0	0	41	21	64	0	40	25	47	322	107	50	0	45	187	50
"1d90e2a14fcaf64ce6648221213758a8"	87	19	59	72	75	111	8	69	0	0	8	164	17	0	0	0	0	0	0	0	13	7	38	91	48	51	19	30	40	7	39	72	50	21
"15985e5b21c459a170dacb98c2c503d3"	32	21	32	66	56	29	31	20	24	18	27	15	14	19	0	0	54	41	0	63	49	58	80	72	44	41	18	0	40	34	46	64	60	34
"6ab1fd921f6ddb8f39371386bb455901"	27	11	17	13	33	102	75	13	53	41	45	48	49	0	18	9	62	60	0	26	81	51	13	17	29	8	30	36	15	29	19	34	52	69
"671fc5cee79caa17d1e54daf80f1e2d6"	97	180	409	9	0	0	0	32	0	0	0	0	6	0	0	0	0	0	0	0	0	0	136	0	0	173	0	0	67	0	65	12	2	0
"1aa45332969575442e0a457ef371669d"	81	57	96	0	0	15	28	37	0	15	0	0	11	0	286	0	0	0	0	0	0	53	56	111	0	142	73	0	52	0	32	0	0	0
"6f4f43bff5df9356d2874f564bd1baef"	59	104	107	82	33	0	0	61	0	0	0	24	12	0	0	0	0	65	0	0	0	0	99	51	31	93	0	0	128	0	94	76	21	0
"2eedcb5992e784dcd0217b8cb29aa2cd"	21	13	0	16	20	26	0	55	30	39	0	0	0	134	53	286	66	0	0	43	13	69	23	0	0	0	15	0	0	89	7	23	30	41
"990536f951db6508290e80df7a3456d6"	77	14	40	69	65	87	17	49	22	7	0	17	29	0	0	0	0	5	0	0	0	31	96	85	62	52	29	12	25	6	69	71	48	13
"d7cf19be385fae90fc2dae3bc9d42ea0"	27	42	16	28	0	0	50	58	37	25	0	129	16	0	0	0	31	128	0	0	0	41	48	88	35	26	44	18	40	0	44	65	24	21
"0f4ff0a2757cb518bffad2222f18376b"	25	14	19	27	12	0	25	36	56	55	0	47	64	84	111	88	98	25	0	0	22	31	10	16	15	28	0	10	16	30	15	33	30	24
"295d94fd5c278d3ac45c413c55d6b143"	8	11	25	8	18	11	0	63	10	25	186	4	16	0	0	0	59	34	0	0	6	41	126	10	13	0	6	96	31	236	7	9	7	0
