	Kingdom	Phylum	Class	Order	Family	Genus	Species
2485303879b6cf4a626fca6dcb328f16	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
eafe7d540b341abd0b7e5e3164e2f40f	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	uncultured	uncultured cyanobacterium
a1a46747a2d054385d4531d04d78eefa	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus	NA
612b259eb6294befb380ac4de0737a94	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
3b73aa488ac80fc7809f7b8d7eecf061	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured	NA
1ccbf55b47c2919b550103df1667d244	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
79c9235ff041fe76f6dc89a18c5a222a	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	uncultured soil bacterium
1db22b035d3fb0858c969f8fedda264f	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA
a679b90b860713e81fcb5971e697632e	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	uncultured bacterium
1e49a80064dfde5ad89169cb076745f0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	uncultured soil bacterium
b33369fcff33a6052857b70e91a67677	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	NA
ec20c4158ae8572e64663bf4bcfc3c11	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Paludibaculum	uncultured bacterium
59126c9d338650496b528ac9763fef32	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA
563dafa7ecbdaec2addabcff3bdce142	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
0b38f5929a79ed8f35a3e08113420bac	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	NA
79aeef6159351463c3618c62dbfa39ac	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
cc5d39ebedab1a2766ecbd43fb6f649c	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Fibrella	uncultured soil bacterium
ad72127c01dac114c005c83404612b5d	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA
2d0a9d41eacab36b333910dcb46f06b9	Bacteria	Cyanobacteria	Oxyphotobacteria	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena PCC-7429	uncultured cyanobacterium
c6ecf0fe8c87aa11b74dc6516b34b904	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured gamma proteobacterium
88524108706087f7c75e79d6c10c9c61	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
3e1a26e59596ea4b27910d21a7f2685f	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA
b74958c42f46f9a5365dca12ae061e04	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	uncultured Verrucomicrobiales bacterium	uncultured Verrucomicrobiales bacterium
